# Time, p, Ux, Uy, Uz, e
3.966289999999999764e-06 1.384080999999999912e-06 2.163969000000000099e-07 1.811078999999999944e-04 1.319484000000000054e-05 8.366839999999999500e-07
4.202480000000000293e-06 1.361919999999999956e-06 2.080829000000000057e-07 1.688681000000000036e-04 1.260936999999999952e-05 8.372702999999999557e-07
4.435660000000000320e-06 1.335073000000000033e-06 2.034392000000000103e-07 1.606474999999999895e-04 1.224643999999999959e-05 8.548922000000000402e-07
4.666179999999999766e-06 1.298322999999999919e-06 1.996854999999999917e-07 1.532391000000000081e-04 1.198925000000000045e-05 8.601699999999999527e-07
4.894280000000000174e-06 1.261926000000000020e-06 1.938602000000000010e-07 1.462432999999999962e-04 1.174374999999999916e-05 8.589164999999999739e-07
5.120199999999999699e-06 1.232653000000000046e-06 1.893909000000000128e-07 1.400627999999999899e-04 1.154221000000000007e-05 8.610893000000000448e-07
5.344119999999999920e-06 1.210614000000000070e-06 1.873640000000000094e-07 1.349451999999999900e-04 1.136812999999999919e-05 8.710170000000000497e-07
5.566219999999999877e-06 1.193077000000000063e-06 1.851305999999999968e-07 1.311080000000000058e-04 1.125550999999999992e-05 8.846684000000000128e-07
5.786630000000000194e-06 1.177106000000000085e-06 1.813701000000000075e-07 1.285778000000000008e-04 1.119498999999999969e-05 8.988851999999999763e-07
6.005489999999999654e-06 1.165814999999999908e-06 1.802717000000000114e-07 1.257780000000000009e-04 1.112528999999999932e-05 9.193511000000000034e-07
6.222879999999999617e-06 1.162246000000000070e-06 1.786926000000000023e-07 1.233414000000000114e-04 1.101631000000000058e-05 9.409401999999999913e-07
6.439010000000000375e-06 1.159827000000000000e-06 1.752322999999999934e-07 1.201722000000000012e-04 1.084432000000000022e-05 9.616820999999999078e-07
6.654170000000000192e-06 1.159991000000000080e-06 1.736983999999999932e-07 1.169030999999999955e-04 1.065236999999999945e-05 9.904958000000000992e-07
6.868520000000000097e-06 1.159897000000000027e-06 1.719377000000000110e-07 1.138244999999999941e-04 1.043012000000000001e-05 1.020114999999999973e-06
7.082050000000000236e-06 1.159564999999999968e-06 1.683106000000000090e-07 1.109247000000000054e-04 1.017615999999999982e-05 1.045866999999999951e-06
7.294740000000000058e-06 1.157842000000000052e-06 1.662060999999999917e-07 1.078480000000000015e-04 9.907502999999999457e-06 1.075361999999999912e-06
7.506610000000000115e-06 1.154823999999999965e-06 1.638007999999999880e-07 1.051432000000000066e-04 9.624810999999999827e-06 1.102822000000000027e-06
7.717670000000000259e-06 1.149513999999999926e-06 1.601325000000000080e-07 1.025113999999999957e-04 9.329343999999999289e-06 1.126760999999999934e-06
7.927920000000000491e-06 1.144963000000000086e-06 1.581891999999999988e-07 1.003198999999999947e-04 9.047056999999999191e-06 1.155950999999999946e-06
8.137359999999999963e-06 1.140314999999999898e-06 1.561700000000000015e-07 9.833517999999999860e-05 8.781383999999999880e-06 1.183824000000000026e-06
8.346029999999999779e-06 1.131939999999999957e-06 1.534228999999999914e-07 9.695788999999999471e-05 8.549580999999999959e-06 1.207112999999999991e-06
8.553929999999999940e-06 1.123185999999999930e-06 1.519548999999999944e-07 9.583965000000000658e-05 8.350150000000000004e-06 1.233999999999999959e-06
8.761060000000000446e-06 1.115186999999999992e-06 1.501709000000000097e-07 9.492427000000000655e-05 8.183294999999999719e-06 1.259734000000000075e-06
8.967450000000000006e-06 1.104529999999999952e-06 1.485567999999999873e-07 9.422755000000000215e-05 8.040339999999999323e-06 1.283817999999999962e-06
9.173080000000000611e-06 1.091660000000000022e-06 1.465289000000000092e-07 9.374308000000000575e-05 7.915844999999999425e-06 1.301134000000000009e-06
9.377970000000000270e-06 1.076717000000000045e-06 1.449559999999999912e-07 9.310482999999999878e-05 7.794781000000000002e-06 1.316807000000000020e-06
9.582109999999999979e-06 1.061378999999999965e-06 1.436056999999999927e-07 9.264015000000000444e-05 7.687654999999999497e-06 1.331863999999999968e-06
9.785499999999999738e-06 1.045465000000000078e-06 1.423700999999999892e-07 9.211688000000000428e-05 7.593571000000000281e-06 1.345468000000000041e-06
9.988130000000000540e-06 1.030375000000000066e-06 1.410815999999999972e-07 9.164337000000000210e-05 7.523161000000000221e-06 1.359629000000000031e-06
1.019000000000000069e-05 1.015016000000000041e-06 1.392961999999999897e-07 9.130210999999999514e-05 7.469057000000000070e-06 1.371368000000000081e-06
1.039070000000000031e-05 9.972676999999998979e-07 1.375809000000000008e-07 9.095482000000000003e-05 7.414109000000000338e-06 1.381471000000000076e-06
1.058990000000000003e-05 9.794681000000000116e-07 1.357440000000000011e-07 9.046319000000000419e-05 7.360384000000000272e-06 1.393651000000000017e-06
1.078770000000000007e-05 9.624614000000000530e-07 1.341641999999999938e-07 9.000956999999999751e-05 7.318354000000000100e-06 1.407693999999999926e-06
1.098400000000000021e-05 9.469855000000000196e-07 1.323616000000000091e-07 8.954373000000000334e-05 7.285222999999999722e-06 1.421450999999999988e-06
1.117899999999999919e-05 9.315996000000000353e-07 1.302627000000000035e-07 8.903635000000000347e-05 7.260801999999999639e-06 1.432433000000000105e-06
1.137260000000000018e-05 9.183917000000000326e-07 1.285841000000000006e-07 8.865923999999999582e-05 7.240903000000000289e-06 1.447355999999999954e-06
1.156479999999999980e-05 9.075315000000000158e-07 1.268104999999999959e-07 8.827433999999999888e-05 7.221787999999999710e-06 1.465189999999999900e-06
