# Time, p, Ux, Uy, Uz, e
8.100000000000000000e+01 2.810542999999999982e-03 8.179970000000000221e-05 3.441753000000000087e-03 2.399964999999999998e-03 1.968362999999999884e-03
8.200000000000000000e+01 2.783804999999999873e-03 8.106211999999999901e-05 3.416614000000000109e-03 2.377422000000000129e-03 1.964719000000000187e-03
8.300000000000000000e+01 2.745930000000000159e-03 8.035037000000000028e-05 3.391816000000000188e-03 2.359323999999999883e-03 1.960584000000000025e-03
8.400000000000000000e+01 2.702724000000000099e-03 7.964937999999999532e-05 3.368204000000000076e-03 2.344830000000000005e-03 1.955469999999999951e-03
8.500000000000000000e+01 2.664040999999999805e-03 7.895039999999999545e-05 3.344885000000000132e-03 2.333492999999999852e-03 1.949694000000000080e-03
8.600000000000000000e+01 2.627135999999999968e-03 7.827125000000000044e-05 3.321300000000000120e-03 2.324319999999999945e-03 1.942535999999999916e-03
8.700000000000000000e+01 2.594253999999999831e-03 7.759936999999999900e-05 3.300846999999999982e-03 2.318703999999999991e-03 1.933575000000000094e-03
8.800000000000000000e+01 2.560120999999999838e-03 7.691196999999999606e-05 3.283145999999999808e-03 2.316171000000000115e-03 1.921863999999999907e-03
8.900000000000000000e+01 2.518900000000000132e-03 7.623778999999999636e-05 3.265689999999999912e-03 2.314793999999999793e-03 1.908287000000000047e-03
9.000000000000000000e+01 2.479608999999999806e-03 7.555135000000000637e-05 3.247687999999999877e-03 2.314253999999999964e-03 1.894110000000000064e-03
9.100000000000000000e+01 2.451630000000000215e-03 7.487972999999999602e-05 3.229772000000000112e-03 2.314360000000000115e-03 1.878812000000000104e-03
9.200000000000000000e+01 2.423082999999999921e-03 7.424529999999999878e-05 3.210858999999999935e-03 2.314500000000000151e-03 1.861798000000000012e-03
9.300000000000000000e+01 2.396996000000000196e-03 7.360817000000000239e-05 3.189985000000000216e-03 2.313430000000000000e-03 1.843933000000000074e-03
9.400000000000000000e+01 2.369674999999999906e-03 7.297603000000000271e-05 3.168024000000000187e-03 2.311109999999999901e-03 1.825419000000000000e-03
9.500000000000000000e+01 2.345222000000000105e-03 7.232476000000000649e-05 3.146285999999999874e-03 2.308778000000000045e-03 1.806209000000000026e-03
9.600000000000000000e+01 2.317622999999999992e-03 7.165763999999999923e-05 3.124755999999999801e-03 2.305839000000000066e-03 1.786524999999999962e-03
9.700000000000000000e+01 2.286874999999999845e-03 7.101260000000000515e-05 3.102455999999999964e-03 2.301333000000000024e-03 1.766713000000000051e-03
9.800000000000000000e+01 2.260003999999999919e-03 7.037404000000000359e-05 3.079848999999999955e-03 2.295513999999999801e-03 1.746280999999999918e-03
9.900000000000000000e+01 2.237615000000000090e-03 6.974067999999999988e-05 3.056778000000000012e-03 2.288664000000000150e-03 1.724964000000000055e-03
1.000000000000000000e+02 2.218724000000000043e-03 6.910902999999999382e-05 3.033053999999999872e-03 2.280143000000000100e-03 1.703695999999999986e-03
1.010000000000000000e+02 2.202589999999999930e-03 6.850141000000000183e-05 3.007556000000000205e-03 2.268707000000000015e-03 1.681399000000000088e-03
1.020000000000000000e+02 2.183829999999999886e-03 6.790246000000000649e-05 2.981614999999999960e-03 2.255238000000000121e-03 1.657707000000000017e-03
1.030000000000000000e+02 2.167516999999999881e-03 6.731683999999999498e-05 2.956280999999999839e-03 2.241049000000000166e-03 1.632678999999999945e-03
1.040000000000000000e+02 2.146119000000000152e-03 6.673086999999999964e-05 2.929616999999999812e-03 2.225435999999999907e-03 1.607031000000000084e-03
1.050000000000000000e+02 2.128820999999999925e-03 6.616817000000000586e-05 2.903854999999999891e-03 2.208293000000000061e-03 1.581383000000000007e-03
1.060000000000000000e+02 2.117408999999999784e-03 6.561883999999999870e-05 2.878771999999999928e-03 2.190267000000000082e-03 1.555385000000000057e-03
1.070000000000000000e+02 2.107192999999999827e-03 6.508669000000000076e-05 2.854972999999999799e-03 2.172147000000000140e-03 1.529572000000000093e-03
