DATCOM SIMULATION RESULTS

MACH = 0.6
ALT = 0.0
BETA = 0.0
XM = 1.9

CN,CM,CA,CY,CLN,CLL,CL,CD,CL_CD,XCP,CNA,CMA,CYB,CLNB,CLLB,CNQ,CMQ,CAQ,CNAD,CMAD,CYR,CLNR,CLLR,CYP,CLNP,CLLP
-2.5,-0.629,1.199,0.35,-0.0,0.0,-0.0,-0.613,0.377,-1.625,-1.906,15.5595,-28.9372,-14.5493,27.8262,0.6243,137.304,-640.516,-3.802,53.448,-26.956,143.711,-668.358,2.457,0.908,-4.316,-23.07
-1.5,-0.365,0.705,0.356,-0.0,0.0,-0.0,-0.355,0.365,-0.973,-1.932,14.7372,-27.6789,-14.1273,27.2816,0.2654,140.868,-657.454,-5.07,53.448,-26.956,143.674,-668.187,2.608,0.39,-1.855,-22.255
-1.0,-0.24,0.469,0.357,-0.0,0.0,0.0,-0.233,0.362,-0.646,-1.955,14.0437,-26.9345,-13.9291,27.09,0.098,142.96,-667.398,-5.699,53.448,-26.956,143.71,-668.364,2.662,0.188,-0.893,-21.939
-0.1,-0.024,0.047,0.359,-0.0,0.0,-0.0,-0.023,0.359,-0.064,-2.018,13.6165,-27.0015,-13.7471,26.9177,-0.051,146.921,-686.222,-6.789,53.448,-26.956,143.828,-668.925,2.678,0.002,-0.01,-21.641
0.1,0.024,-0.047,0.359,0.0,-0.0,0.0,0.023,0.359,0.064,-2.018,13.6292,-27.062,-13.7424,26.8956,-0.051,147.75,-690.158,-7.021,53.448,-26.956,143.834,-668.953,2.674,0.002,-0.01,-21.642
1.0,0.24,-0.471,0.357,0.0,-0.0,0.0,0.234,0.362,0.647,-1.96,14.0867,-27.1392,-13.8826,26.8687,0.0981,150.934,-705.283,-8.01,53.448,-26.956,143.772,-668.655,2.635,0.189,-0.896,-21.94
1.5,0.366,-0.709,0.356,0.0,-0.0,0.0,0.356,0.365,0.976,-1.94,14.8204,-28.0733,-14.0575,26.9498,0.2654,152.281,-711.684,-8.523,53.448,-26.956,143.767,-668.633,2.56,0.393,-1.865,-22.259
2.5,0.632,-1.212,0.35,0.0,-0.0,0.0,0.616,0.377,1.632,-1.918,15.6876,-29.5465,-14.432,27.2685,0.6226,153.963,-719.667,-9.501,53.448,-26.956,143.873,-669.127,2.383,0.916,-4.353,-23.082
